Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
406.34	436.41	undefined	9.9980	25.657	41.315	447.10	0.0022366	9.9980	25.657	41.315	39.634	50.028	2221.5	-0.53112	72.993	0.28128	447.10	0.0022366	9.9980	25.657	41.315	39.634	50.028	2221.5	-0.53112	72.993	0.28128
408.09	438.36	undefined	10.067	25.797	41.486	447.10	0.0022366	10.067	25.797	41.486	39.723	50.102	2223.5	-0.53032	72.884	0.28162	447.10	0.0022366	10.067	25.797	41.486	39.723	50.102	2223.5	-0.53032	72.884	0.28162
409.84	440.31	undefined	10.137	25.936	41.656	447.10	0.0022366	10.137	25.936	41.656	39.812	50.176	2225.6	-0.52951	72.776	0.28197	447.10	0.0022366	10.137	25.936	41.656	39.812	50.176	2225.6	-0.52951	72.776	0.28197
411.59	442.26	undefined	10.207	26.076	41.826	447.10	0.0022366	10.207	26.076	41.826	39.901	50.250	2227.6	-0.52870	72.669	0.28231	447.10	0.0022366	10.207	26.076	41.826	39.901	50.250	2227.6	-0.52870	72.669	0.28231
413.34	444.20	undefined	10.277	26.215	41.995	447.10	0.0022366	10.277	26.215	41.995	39.991	50.325	2229.6	-0.52789	72.564	0.28266	447.10	0.0022366	10.277	26.215	41.995	39.991	50.325	2229.6	-0.52789	72.564	0.28266
415.09	446.14	undefined	10.347	26.355	42.164	447.10	0.0022366	10.347	26.355	42.164	40.081	50.401	2231.6	-0.52708	72.460	0.28301	447.10	0.0022366	10.347	26.355	42.164	40.081	50.401	2231.6	-0.52708	72.460	0.28301
416.84	448.07	undefined	10.417	26.495	42.333	447.10	0.0022366	10.417	26.495	42.333	40.172	50.476	2233.6	-0.52627	72.357	0.28336	447.10	0.0022366	10.417	26.495	42.333	40.172	50.476	2233.6	-0.52627	72.357	0.28336
418.59	450.01	undefined	10.487	26.634	42.501	447.10	0.0022366	10.487	26.634	42.501	40.262	50.552	2235.6	-0.52545	72.255	0.28370	447.10	0.0022366	10.487	26.634	42.501	40.262	50.552	2235.6	-0.52545	72.255	0.28370
420.34	451.94	undefined	10.558	26.774	42.669	447.10	0.0022366	10.558	26.774	42.669	40.353	50.629	2237.5	-0.52464	72.155	0.28405	447.10	0.0022366	10.558	26.774	42.669	40.353	50.629	2237.5	-0.52464	72.155	0.28405
422.09	453.86	undefined	10.628	26.914	42.837	447.10	0.0022366	10.628	26.914	42.837	40.444	50.705	2239.5	-0.52382	72.056	0.28440	447.10	0.0022366	10.628	26.914	42.837	40.444	50.705	2239.5	-0.52382	72.056	0.28440
423.84	455.79	undefined	10.699	27.054	43.005	447.10	0.0022366	10.699	27.054	43.005	40.535	50.782	2241.5	-0.52300	71.959	0.28475	447.10	0.0022366	10.699	27.054	43.005	40.535	50.782	2241.5	-0.52300	71.959	0.28475
425.59	457.71	undefined	10.770	27.194	43.172	447.10	0.0022366	10.770	27.194	43.172	40.627	50.860	2243.4	-0.52218	71.862	0.28510	447.10	0.0022366	10.770	27.194	43.172	40.627	50.860	2243.4	-0.52218	71.862	0.28510
